AccountID,AccountName,Region,ClusterName,ClusterVersion,InstanceID,Current_AMI_ID,Current_AMI_Publication_Date,AMI_Age(in days),OS_Version,InstanceType,NodeState,NodeUptime,Latest_AMI_ID,New_AMI_Publication_Date,PatchPendingStatus,NodeReadinessStatus,Cluster_Compliance,Audit_Timestamp
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0f73d47adae0eae3b,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,r4.xlarge,running,0 days 21 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-046bae7652bd115ef,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,0 days 3 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0d45a96bef959c928,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,0 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-024aaf91e4582da63,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0c427bc3645909fef,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0e94ae279e09f7d93,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5.2xlarge,running,0 days 3 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-000516c98c48e48ce,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0e302f28155a0e17a,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0f03ef9977a247c31,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-035392914a34b9416,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0509e3c699c66202f,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0ebb8783d999e7f2a,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0a5b41d75d286b53d,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,5 days 7 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0bdaee89a5a1b63b4,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.2xlarge,running,1 days 17 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-03733540992c3b235,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,1 days 17 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-04e88d542097dd39e,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.2xlarge,running,0 days 20 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-09ad8321c9a615fae,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.8xlarge,running,0 days 17 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0f69860fd98a87332,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.2xlarge,running,0 days 16 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0ae8686e6b799e7fd,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.2xlarge,running,0 days 16 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-06d1d84025b4b3416,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.8xlarge,running,0 days 15 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0aae9ef88bd98d394,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,r6i.large,running,0 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
556664958801,mmpay-staging,us-east-2,modmed-mmpay-stg-global-eks,1.34,i-0f451a77bf0de9d72,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m5.2xlarge,running,0 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
556664958801,mmpay-staging,us-east-2,modmed-mmpay-stg-global-eks,1.34,i-03808ee896c5b53a5,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m5.2xlarge,running,0 days 1 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
556664958801,mmpay-staging,us-east-2,modmed-mmpay-stg-global-eks,1.34,i-0cab642dadbaa2555,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m5.2xlarge,running,0 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
556664958801,mmpay-staging,us-east-2,modmed-mmpay-stg-global-eks,1.34,i-00783529836a1161b,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m5.2xlarge,running,0 days 1 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
